[find-bench] scenario region spec=/Users/josh/play/SikuliX1/packages/api/internal/grpcv1/testdata/find-bench-assets/regions.json mapped=40/40
goos: darwin
goarch: arm64
pkg: github.com/smysnk/sikuligo/internal/grpcv1
cpu: Apple M4 Pro
BenchmarkFindOnScreenE2E/engine=template/perspective_skew_sweep_1024x768_i06_perspective_s357244d6-14       	       2	 152466562 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5222584 B/op	    1292 allocs/op
BenchmarkFindOnScreenE2E/engine=template/orb_feature_rich_1024x768_i07_rotate_s4c6e7916-14                  	       2	 127449854 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4249472 B/op	    1090 allocs/op
BenchmarkFindOnScreenE2E/engine=template/template_control_exact_1024x768_i08_s0c67f616-14                   	       3	  71230861 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 3004056 B/op	     719 allocs/op
BenchmarkFindOnScreenE2E/engine=template/hybrid_gate_conflicts_1024x768_i09_perspective_se6bf4a73-14        	       3	  77855570 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 2577661 B/op	     710 allocs/op
BenchmarkFindOnScreenE2E/engine=template/multi_monitor_dpi_shift_1024x768_i10_scale_sb183cb77-14            	       2	 134918667 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6591388 B/op	    1320 allocs/op
BenchmarkFindOnScreenE2E/engine=template/vector_ui_baseline_1280x720_i01_rotate_s8a4f44bd-14                	       3	  88688514 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 3093794 B/op	     736 allocs/op
BenchmarkFindOnScreenE2E/engine=template/photo_clutter_1280x720_i02_scale_sed122c1c-14                      	       3	  85593958 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 3090533 B/op	     717 allocs/op
BenchmarkFindOnScreenE2E/engine=template/repetitive_grid_camouflage_1280x720_i03_rotate_s9825f8a8-14        	       3	  95222667 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 2976413 B/op	     702 allocs/op
BenchmarkFindOnScreenE2E/engine=template/noise_stress_random_1280x720_i04_rotate_sc37a59d9-14               	       2	 167036771 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6152464 B/op	    1294 allocs/op
BenchmarkFindOnScreenE2E/engine=template/scale_rotate_sweep_1280x720_i05_scale_s8ff2d3c0-14                 	       2	 186017792 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5987136 B/op	    1287 allocs/op
BenchmarkFindOnScreenE2E/engine=template/perspective_skew_sweep_1280x720_i06_perspective_s033dc796-14       	       2	 187745062 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6041704 B/op	    1285 allocs/op
BenchmarkFindOnScreenE2E/engine=template/orb_feature_rich_1280x720_i07_rotate_se47d6ad6-14                  	       2	 156729334 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4902660 B/op	    1088 allocs/op
BenchmarkFindOnScreenE2E/engine=template/template_control_exact_1280x720_i08_sa476e7d6-14                   	       3	  90818569 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 3091482 B/op	     711 allocs/op
BenchmarkFindOnScreenE2E/engine=template/hybrid_gate_conflicts_1280x720_i09_perspective_sf367057f-14        	       3	  92355667 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 2985976 B/op	     717 allocs/op
BenchmarkFindOnScreenE2E/engine=template/multi_monitor_dpi_shift_1280x720_i10_scale_sa3153093-14            	       2	 170140208 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6285836 B/op	    1304 allocs/op
BenchmarkFindOnScreenE2E/engine=template/vector_ui_baseline_1920x1080_i01_rotate_s2332e8ba-14               	       1	 218098541 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 6822712 B/op	     739 allocs/op
BenchmarkFindOnScreenE2E/engine=template/photo_clutter_1920x1080_i02_rotate_sa31cde71-14                    	       2	 196911354 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 7954520 B/op	     739 allocs/op
BenchmarkFindOnScreenE2E/engine=template/repetitive_grid_camouflage_1920x1080_i03_rotate_s1878301d-14       	       1	 222315500 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 6631312 B/op	     724 allocs/op
BenchmarkFindOnScreenE2E/engine=template/noise_stress_random_1920x1080_i04_rotate_s17ff8896-14              	       1	 412973375 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	14759592 B/op	    1348 allocs/op
BenchmarkFindOnScreenE2E/engine=template/scale_rotate_sweep_1920x1080_i05_scale_s93bb9915-14                	       1	 442408583 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	13378552 B/op	    1335 allocs/op
BenchmarkFindOnScreenE2E/engine=template/perspective_skew_sweep_1920x1080_i06_perspective_s6cc01a57-14      	       1	 428495625 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	13540392 B/op	    1369 allocs/op
BenchmarkFindOnScreenE2E/engine=template/orb_feature_rich_1920x1080_i07_rotate_s2be28017-14                 	       1	 354110000 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	11013104 B/op	    1137 allocs/op
BenchmarkFindOnScreenE2E/engine=template/template_control_exact_1920x1080_i08_s60d1e717-14                  	       2	 197484812 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 7975720 B/op	     745 allocs/op
BenchmarkFindOnScreenE2E/engine=template/hybrid_gate_conflicts_1920x1080_i09_perspective_s5a3c19a0-14       	       1	 212621375 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 6592920 B/op	     743 allocs/op
BenchmarkFindOnScreenE2E/engine=template/multi_monitor_dpi_shift_1920x1080_i10_scale_s6a949f54-14           	       1	 388893958 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	13983128 B/op	    1356 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/vector_ui_baseline_800x600_i01_scale_s57c08455-14                       	      14	  16862518 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         1.000 query_not_found/op	         1.000 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 2336017 B/op	    1078 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/photo_clutter_800x600_i02_rotate_s89976fd6-14                           	       3	  82962250 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3503917 B/op	    1807 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/repetitive_grid_camouflage_800x600_i03_rotate_sd949b0da-14              	       6	  33426361 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3360349 B/op	    1303 allocs/op
